0,0,0
0,0,0
0,0.595,0
0,1.178,0
0,1.767,0
0,2.343,0
2.916,0.582,0
0,3.499,0
3.498,2.33,0
4.076,2.334,0
0.59,0,0
0.584,0.593,0
0.578,1.146,0
0.58,1.731,0
0.581,2.31,0
3.505,0,0
4.658,2.33,0
2.328,3.494,0
1.748,3.494,0
1.17,0,0
1.167,0.593,0
1.154,1.181,0
1.162,1.763,0
1.167,2.344,0
1.166,3.503,0
1.164,2.925,0
0.583,2.891,0
4.074,3.486,0
1.756,0.0035,0
1.752,0.587,0
1.75,1.1745,0
1.744,1.7575,0
1.75,2.3385,0
3.492,3.492,0
2.914,3.489,0
5.241,2.332,0
0,2.919,0
2.336,0,0
2.331,0.587,0
2.326,1.166,0
2.325,1.7545,0
2.331,2.331,0
2.918,2.331,0
1.745,2.914,0
2.331,2.91,0
0.581,3.473,0
2.911,2.91,0
3.493,2.907,0
4.077,2.909,0
4.651,2.909,0
5.233,2.909,0
5.239,3.492,0
4.655,3.49,0
5.241,1.17,0
5.236,1.751,0
4.654,1.75,0
4.07,1.752,0
4.073,1.165,0
5.244,0.579,0
2.914,1.164,0
4.075,0.585,0
4.669,0,0
4.083,0,0
3.501,0.585,0
3.494,1.165,0
3.492,1.748,0
2.911,1.749,0
5.251,0,0
4.655,1.165,0
4.661,0.582,0
2.927,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.791,0.2925,0
3.786,2.62,0
2.62275,2.6205,0
3.784,2.041,0
2.62125,2.041375,0
3.78575,0.875,0
3.20275,1.4565,0
3.78225,1.4575,0
2.62175,0.87475,0
3.205,2.6195,0
2.619,1.458375,0
3.20475,2.0395,0
3.21225,0.29175,0
3.20625,0.874,0
